network,station,channel,latitude,longitude,elevation
CI,CCC,HHZ,35.52495,-117.36453,670.0
CI,CCC,HHE,35.52495,-117.36453,670.0
CI,CCC,HHN,35.52495,-117.36453,670.0
GS,CA01,HH2,35.66512,-117.42368,570.4
GS,CA01,HH1,35.66512,-117.42368,570.4
GS,CA01,HHZ,35.66512,-117.42368,570.4
GS,CA03,HH2,35.62204,-117.56911,762.2
GS,CA03,HH1,35.62204,-117.56911,762.2
GS,CA03,HHZ,35.62204,-117.56911,762.2
GS,CA04,HH2,35.47833,-117.5602,1005.4
GS,CA04,HH1,35.47833,-117.5602,1005.4
GS,CA04,HHZ,35.47833,-117.5602,1005.4
GS,CA05,HH2,35.58926,-117.28689,612.1
GS,CA05,HH1,35.58926,-117.28689,612.1
GS,CA05,HHZ,35.58926,-117.28689,612.1
GS,CA06,HH2,35.59962,-117.49268000000001,796.4
GS,CA06,HH1,35.59962,-117.49268000000001,796.4
GS,CA06,HHZ,35.59962,-117.49268000000001,796.4
PB,B917,EHZ,35.4053,-117.2588,1192.0
PB,B917,EH2,35.4053,-117.2588,1192.0
PB,B917,EH1,35.4053,-117.2588,1192.0
PB,B921,EHZ,35.5865,-117.4622,694.5
PB,B921,EH2,35.5865,-117.4622,694.5
PB,B921,EH1,35.5865,-117.4622,694.5
ZY,SV01,HHZ,35.6455,-117.4776,602.0
ZY,SV01,HHE,35.6455,-117.4776,602.0
ZY,SV01,HHN,35.6455,-117.4776,602.0
ZY,SV06,HHZ,35.6012,-117.3811,597.9
ZY,SV06,HHE,35.6012,-117.3811,597.9
ZY,SV06,HHN,35.6012,-117.3811,597.9
ZY,SV08,HHZ,35.5761,-117.4187,604.0
ZY,SV08,HHE,35.5761,-117.4187,604.0
ZY,SV08,HHN,35.5761,-117.4187,604.0
3J,R55,DPE,35.637807,-117.375649,509.8
3J,R55,DPN,35.637807,-117.375649,509.8
3J,R55,DPZ,35.637807,-117.375649,509.8
3J,R56,DPE,35.63715,-117.287727,510.0
3J,R56,DPN,35.63715,-117.287727,510.0
3J,R56,DPZ,35.63715,-117.287727,510.0
3J,R64,DPE,35.544053,-117.482829,673.6
3J,R64,DPN,35.544053,-117.482829,673.6
3J,R64,DPZ,35.544053,-117.482829,673.6
3J,R73B,DPE,35.470076,-117.590971,1042.0
3J,R73B,DPN,35.470076,-117.590971,1042.0
3J,R73B,DPZ,35.470076,-117.590971,1042.0
3J,R74,DPE,35.464912,-117.506316,880.4
3J,R74,DPN,35.464912,-117.506316,880.4
3J,R74,DPZ,35.464912,-117.506316,880.4
7Q,RCS10,HN2,35.4862,-117.4905,774.0
7Q,RCS10,HN1,35.4862,-117.4905,774.0
7Q,RCS10,HNZ,35.4862,-117.4905,774.0
7Q,RCW21,EHZ,35.5395,-117.5779,918.0
7Q,RCW21,EH2,35.5395,-117.5779,918.0
7Q,RCW21,EH1,35.5395,-117.5779,918.0
7Q,RCW22,EHZ,35.557,-117.464,678.0
7Q,RCW22,EH2,35.557,-117.464,678.0
7Q,RCW22,EH1,35.557,-117.464,678.0
7Q,RCW24,EHZ,35.4286,-117.5817,1006.0
7Q,RCW24,EH2,35.4286,-117.5817,1006.0
7Q,RCW24,EH1,35.4286,-117.5817,1006.0
